"Now Shopping by","Ora acquista per"
"We cannot register an existing credit memo.","Non è possibile registrare una nota di credito esistente."
"We found an invalid quantity to invoice item ""%1"".","E' stata trovata una quantità non valida per fatturare l'elemento ""%1""."
"The Order State ""%1"" must not be set manually.","Lo stato dell'ordine ""%1"" non deve essere impostato manualmente."
"""Shipment Document Validation Error(s):\n"" .","""Errori convalida documento(i) di trasporto:\n""."
"Could not save a shipment, see error log for details","Impossibile salvare una Spedizione, vedere log degli errori per maggiori dettagli"
"VAT Request Identifier","Identificatore p.IVA richiesto"
"VAT Request Date","Data di richiesta P. IVA"
"Pending Payment","Pagamento in attesa"
Processing,"In elaborazione"
"On Hold","In sospeso"
Complete,Completato
Closed,Chiuso
"Suspected Fraud","Sospetta frode"
"Payment Review","Rivedi Pagamento"
"Product doesn't exist","Prodotto inesistente"
"test message","messaggio di prova"
"Email has not been sent","L'email non è stata inviata"
"Authorized amount of %1","Importo autorizzato di %1"
" Transaction ID: ""%1"""," ID transazione: ""%1"""
"Group was removed","Il gruppo è stato rimosso"
"Changing address information will not recalculate shipping, tax or other order amount.","Modificando le informazioni di indirizzo non verranno ricalcolate la spedizione, tasse o altri importi dell'ordine."
"Comment Text","Testo del commento"
"Notify Customer by Email","Notifica il cliente via email"
"Visible on Storefront","Visibile sul Frontend"
Customer,Cliente
Notified,Notificato
"Not Notified","Non notificato"
"No Payment Methods","Nessun metodo di pagamento"
"Order Comments","Commenti ordine"
"Apply Coupon Code","Utilizzare il codice Coupon"
"Remove Coupon Code","Rimuovere il codice Coupon"
"Address Information","Informazioni indirizzo"
"Payment &amp; Shipping Information","Informazioni Pagamento e Spedizione"
"Order Total","Totale ordine"
"Order Currency:","Valuta Ordine:"
"Same As Billing Address","Uguale all'indirizzo di fatturazione"
"Select from existing customer addresses:","Seleziona gli indirizzi dei clienti esistenti:"
"Add New Address","Aggiungi nuovo indirizzo"
"Save in address book","Salva nella rubrica"
"You don't need to select a shipping address.","Non è necessario selezionare un indirizzo di spedizione."
"Gift Message for the Entire Order","Messaggi regalo per l'intero ordine"
"Leave this box blank if you don't want to leave a gift message for the entire order.","Lascia il box vuoto se non vuoi lasciare un messaggio regalo per l'intero ordine."
"Row Subtotal","Riga Subtotale"
"No ordered items","Nessun articolo ordinato"
"Total %1 product(s)","%1 prodotti totali"
Subtotal:,Subtotale:
"Tier Pricing","Fascia di prezzo"
"Custom Price","Prezzo personalizzato"
"Please select",Seleziona
"Move to Shopping Cart","Sposta nel carrello"
"Move to Wish List","Sposta nella lista desideri"
"Subscribe to Newsletter","Iscriviti alla Newsletter"
"Click to change shipping method","Clicca per cambiare metodo di spedizione"
"Sorry, no quotes are available for this order.","Siamo spiacenti, nessun preventivo disponibile per questo ordine."
"Get shipping methods and rates","Ottieni metodi e tariffe di spedizione"
"You don't need to select a shipping method.","Non è necessario selezionare un metodo di spedizione."
"Customer's Activities","Attività del cliente"
Refresh,Aggiorna
Item,Oggetto
"Add To Order","Aggiungere all'ordine"
"Configure and Add to Order","Configura e aggiungi all'ordine"
"No items","Nessun elemento"
"Append Comments","Aggiungi commenti"
"Email Order Confirmation","Email di conferma ordine"
"Grand Total Excl. Tax","Totale Complessivo escl. Tasse"
"Grand Total Incl. Tax","Totale Complessivo incl. Tasse"
"Subtotal (Excl. Tax)","Subtotale (escl. Tasse)"
"Subtotal (Incl. Tax)","Subtotale (incl. Tasse)"
"Payment &amp; Shipping Method","Metodi di pagamento e spedizione"
"The order was placed using %1.","L'ordine è stato eseguito usando %1."
"Shipping Information","Informazioni di spedizione"
"Items to Refund","Elementi da Rimborsare"
"Return to Stock","Ritorno a magazzino"
"Qty to Refund","Qty per rimborso"
"Tax Amount","Importo tasse"
"Discount Amount","Sconto quantità"
"Row Total","Totale riga"
"No Items To Refund","Nessun elemento per il rimborso"
"Credit Memo Comments","Commenti nota di credito"
"Refund Totals","Rimborso totale"
"Email Copy of Credit Memo","Copia email della nota di credito"
"Please enter a positive number in this field.","Inserisci un numero positivo in questo campo."
"Items Refunded","Elementi rimborsati"
"No Items","Nessun Elemento"
"Memo Total","Totale nota"
"Credit Memo History","Cronologia nota di credito"
"Credit Memo Totals","Totali nota di credito"
"Customer Name: %1","Nome cliente: %1"
"Purchased From: %1","Acquistato da: %1"
"Gift Message","Messaggio regalo"
From:,Da:
To:,A:
Message:,Messaggio:
"Shipping &amp; Handling","Spedizione e gestione"
"Gift Options","Opzioni regalo"
"Create Shipment","Crea spedizione"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","Tipi di fattura e di spedizione non corrispondono per alcuni articoli su questo ordine. È possibile creare una spedizione solo dopo la creazione della fattura."
"Qty to Invoice","Qtà per fattura"
"Invoice History","Cronologia fatture"
"Invoice Comments","Commenti fattura"
"Invoice Totals","Totali fatture"
"Capture Online","Acquisizione Online"
"Capture Offline","Acquisizione offline"
"Not Capture","Non acquisito"
"The invoice will be created offline without the payment gateway.","La fattura verrà creata offline senza il gateway di pagamento."
"Email Copy of Invoice","Copia email della fattura"
"Items Invoiced","Articoli fatturati"
"Total Tax","Totale tasse"
"From Name","Dal nome"
"To Name","Al nome"
Comment,Commento
"Notification Not Applicable","Notifica non applicabile"
"Order & Account Information","Informazioni Ordine e Account"
"The order confirmation email was sent","L'email di conferma ordine è stata inviata"
"The order confirmation email is not sent","L'email di conferma ordine non è stata inviata"
"Order Date","Data ordine"
"Order Date (%1)","Data ordine (%1)"
"Purchased From","Acquistato da"
"Link to the New Order","Collegamento al nuovo ordine"
"Link to the Previous Order","Collegamento all'ordine precedente"
"Placed from IP","Inserito da IP"
"%1 / %2 rate:","%1 / tasso di %2:"
"Edit Customer","Modifica Cliente"
"Customer Name","Nome cliente"
"Notes for this Order","Note per questo ordine"
"Comment added","Commento aggiunto"
"Transaction Data","Dati transazione"
"Parent Transaction ID","ID transazione genitore"
"Is Closed","È chiuso"
"Child Transactions","Transazioni figli"
"Transaction Details","Dettagli della transazione"
Items,Elementi
"Gift Message for this Order","Messaggio regalo per questo ordine"
"Shipped By","Spedito da"
"Tracking Number","Numero di tracciamento"
"Billing Last Name","Cognome di fatturazione"
"Find Order By","Trovare l'ordine per"
"ZIP Code",CAP
"Billing ZIP Code","CAP di fatturazione"
"Print All Refunds","Stampa tutti i rimborsi"
"Refund #","Rimborso #"
"Print Refund","Stampa rimborso"
"Order #","Ordine n. "
"Ship To","Spedisci A"
"View Order","Visualizza ordine"
"You have placed no orders.","Non è stato inserito nessun ordine."
"No shipping information available","Nessuna informazione di spedizione disponibile"
"Print Order","Stampa Ordine"
"Print All Invoices","Stampa tutte le fatture"
"Invoice #","Fattura #"
"Print Invoice","Stampa Fattura"
"Qty Invoiced","Qtà fatturata"
"About Your Order","Informazioni sul tuo ordine"
"<span class=""label"">Order Date:</span> %1","<span class=""label""> Data ordine:</span> %1"
"Refund #%1","Rimborso #%1"
"Shipment #%1","Spedizione #%1"
"Qty Shipped","Qty spediti"
"Recent Orders","Ordini recenti"
"View All","Mostra tutti"
"Gift Message for This Order","Messaggio regalo per questo ordine"
"Recently Ordered","Recentemente ordinati"
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Se hai domande sul tuo ordine, puoi inviare una email a <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","o chiamaci al <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","I nostri orari sono <span class=""no-link"">%store_hours</span>."
"Once your package ships we will send an email with a link to track your order.","Una volta che il pacco sarà spedito, ti invieremo un'email con un link per tracciare il tuo ordine."
"Gift Options for ","Opzioni regalo per "
"Add Products","Aggiungi Prodotti"
"You have item changes","Tu hai cambiato l'oggetto"
Operations,Operazioni
Create,Crea
"Send Order Email","Invia email dell'ordine"
"Accept or Deny Payment","Accetta o rifiuta il pagamento"
"Send Sales Emails","Invia email delle vendite"
"Sales Section","Sezione vendite"
"Sales Emails Section","Sezione email delle vendite"
"Hide Customer IP","Nascondi IP Cliente"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Scegliere se l'IP cliente deve essere mostrato in ordini, fatture, spedizioni e note di credito."
"Checkout Totals Sort Order","Ordinamento Totali nel Checkout"
"Allow Reorder","Permetti riordini"
"Invoice and Packing Slip Design","Design imballaggio e fattura"
"Logo for PDF Print-outs (200x50)","Logo per Stampe PDF (200x50)"
"Logo for HTML Print View","Logo per la visualizzazione HTML di stampa"
"Minimum Order Amount","Importo minimo d'ordine"
"Minimum Amount","Importo minimo"
"Subtotal after discount","Subtotale dopo lo sconto"
"Include Tax to Amount","Include le tasse all'importo"
"Description Message","Messaggio di descrizione"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","Questo messaggio apparirà nel carrello quando il subtotale (dopo lo sconto) sarà inferiore all'importo minimo consentito."
